date,HS300A,HS300B,恒生ETF,南方香港,石油黄金,恒生H股,易基黄金,国投新兴,招商金砖,银华通胀,华宝油气,添富贵金,工银资源,信诚四国,信诚商品,沪深300 ETF,中证500 ETF,H股ETF,MoneyFund,德国30,纳指ETF,标普500,Apple,Google,Gold,S&P 500,USO,XOP
2013-10-29,0.95,0.961,1.028,1.025,1.069,0.72,0.717,0.0,0.82,0.8,1.145,0.705,1.031,0.819,0.818,2.421,1.037,0.954,0.0,0.0,1.123,0.0,69.483336,517.603255,129.770004,166.758742,35.41,69.357389
2013-10-30,0.955,0.963,1.037,1.017,1.074,0.731,0.715,0.0,0.818,0.0,1.149,0.7,0.0,0.84,0.815,2.455,1.054,0.97,0.0,0.0,1.128,0.0,70.588765,514.696181,129.600006,165.930449,34.849998,68.0453
2013-10-31,0.933,0.964,1.044,1.09,1.061,0.735,0.707,0.0,0.819,0.828,0.0,0.68,0.0,0.0,0.807,2.431,1.042,0.977,0.0,0.0,1.116,0.0,70.292901,514.776112,127.739998,165.459832,34.689999,67.12877
2013-11-01,0.926,0.96,1.048,0.0,1.071,0.743,0.696,0.0,0.793,0.745,0.0,0.71,0.0,0.912,0.824,2.441,1.038,0.985,0.0,0.0,1.118,0.0,69.933843,513.00787,126.949997,165.855163,34.130001,66.723568
2013-11-04,0.91,0.961,1.046,0.0,1.073,0.742,0.696,0.96,0.0,0.0,0.0,0.705,1.002,0.845,0.837,2.434,1.043,0.986,0.0,0.0,1.122,0.0,70.837551,512.543341,126.809998,166.438725,34.040001,68.778528
2013-11-05,0.919,0.961,1.04,0.0,1.071,0.732,0.707,0.945,0.785,0.754,1.138,0.717,0.0,0.86,0.832,2.434,1.057,0.981,0.0,0.0,1.126,0.0,70.662726,510.250622,126.559998,165.911635,33.669998,67.350663
2013-11-06,0.916,0.966,1.037,0.0,0.0,0.73,0.704,0.0,0.0,0.789,0.0,0.676,0.0,0.0,0.828,2.406,1.049,0.978,0.0,0.0,1.134,0.0,70.46253,510.865006,127.199997,166.758742,34.189999,65.884215
2013-11-07,0.913,0.963,1.031,0.0,0.0,0.0,0.7,0.0,0.781,0.0,0.0,0.719,0.0,0.0,0.826,2.396,1.033,0.968,0.0,0.0,1.134,0.0,69.322243,503.472377,126.160004,164.650368,33.970001,64.041498
2013-11-08,0.896,0.961,1.021,0.0,0.0,0.0,0.704,0.0,0.78,0.0,0.0,0.0,0.0,0.86,0.801,2.36,1.018,0.957,0.0,0.0,1.125,0.0,70.413833,507.508367,124.279999,166.871685,34.009998,65.671964
2013-11-11,0.879,0.957,1.029,0.0,1.065,0.721,0.699,0.0,0.759,0.0,0.0,0.7,0.0,0.0,0.84,2.363,1.022,0.967,0.0,0.0,1.128,0.0,70.209583,504.791084,123.870003,166.899936,34.259998,65.903507
