code,1996-01-04,1997-01-06,1998-01-05,1999-01-04,2000-01-04,2001-01-04,2002-01-04,2003-01-06,2004-01-05,2005-01-04,2006-01-04,2007-01-04,2008-01-04,2009-01-05,2010-01-04,2011-01-04,2012-01-04,2013-01-04,2014-01-06,2015-01-05
603319,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
000656,NaN,-0.3311,0.3652,-0.0078,0.6267,-0.4278,0.1436,NaN,-0.3716,-0.1183,0.7073,1.1629,NaN,3.071,-0.4047,0.1982,0.3596,-0.4979,1.0206,-0.0692
002408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.202,0.1365,-0.1665,0.2289,-0.175
002059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6441,-0.5456,0.9803,-0.0318,-0.0657,-0.1516,0.0959,0.513,0.6203
603336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600608,0.0523,0.7259,-0.0165,0.4728,1.5938,-0.3297,-0.0523,-0.0683,-0.0848,-0.4519,-0.017,NaN,-0.7179,1.7008,-0.0653,-0.3782,0.5091,0.1574,0.0643,0.3483
300565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.2186,0.1269,1.1793,-0.5274,1.2857,-0.0234,-0.323,-0.0724,0.0806,0.537,0.3381
300250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0221,0.7094,0.7288,0.8548
603977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603819,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
