date,沪深300 ETF,中证500 ETF,HS300A,HS300B,MoneyFund,恒生,南方香港,石油黄金,恒生,易基黄金,国投新兴,招商金砖,银华通胀,华宝油气,添富贵金,工银资源,信诚四国,信诚商品,H股ETF,德国30,纳指ETF,标普500
2016-09-01,3.35,6.67,0.999,1.071,100.0,1.226,0.828,0.902,0.708,0.751,0.889,0.787,0.454,0.612,0.637,0.817,0.715,0.472,1.03,0.93,1.7,1.41
2016-08-31,3.39,6.73,1.006,1.073,100.0,1.218,0.827,0.913,0.706,0.755,0.886,0.785,0.455,0.622,0.642,0.822,0.717,0.474,1.02,0.93,1.69,1.41
2016-08-30,3.38,6.72,1.001,1.074,100.0,1.22,0.827,0.913,0.708,0.756,0.88,0.786,0.456,0.621,0.645,0.825,0.713,0.479,1.03,0.93,1.7,1.4
2016-08-29,3.36,6.73,0.997,1.072,99.99,1.207,0.824,0.903,0.701,0.753,0.873,0.784,0.453,0.614,0.644,0.82,0.712,0.472,1.02,0.92,1.69,1.38
2016-08-26,3.36,6.71,1.003,1.07,100.01,1.212,0.826,0.907,0.703,0.756,0.87,0.787,0.452,0.612,0.645,0.825,0.711,0.471,1.02,0.93,1.7,1.39
2016-08-25,3.37,6.68,0.994,1.064,99.99,1.207,0.823,0.908,0.703,0.755,0.87,0.788,0.453,0.614,0.645,0.819,0.718,0.47,1.02,0.93,1.7,1.38
2016-08-24,3.39,6.72,1.023,1.062,99.99,1.204,0.823,0.906,0.703,0.759,0.869,0.787,0.455,0.615,0.648,0.825,0.718,0.473,1.01,0.93,1.71,1.39
2016-08-23,3.4,6.72,1.022,1.065,99.99,1.21,0.831,0.901,0.709,0.76,0.87,0.781,0.453,0.602,0.65,0.822,0.722,0.474,1.02,0.93,1.7,1.38
2016-08-22,3.4,6.7,1.025,1.068,99.99,1.205,0.831,0.904,0.708,0.756,0.867,0.786,0.453,0.614,0.647,0.82,0.724,0.476,1.02,0.93,1.69,1.38
2016-08-19,3.42,6.78,1.063,1.07,100.0,1.211,0.845,0.919,0.712,0.763,0.867,0.785,0.453,0.621,0.652,0.828,0.723,0.474,1.03,0.94,1.69,1.38
2016-08-18,3.42,6.78,1.072,1.069,99.98,1.206,0.856,0.903,0.715,0.766,0.866,0.786,0.451,0.605,0.653,0.824,0.726,0.469,1.03,0.93,1.69,1.38
2016-08-17,3.43,6.78,1.081,1.07,99.99,1.203,0.854,0.901,0.717,0.762,0.864,0.78,0.451,0.602,0.65,0.824,0.724,0.469,1.03,0.93,1.69,1.37
2016-08-16,3.44,6.76,1.104,1.062,99.99,1.201,0.86,0.9,0.719,0.766,0.868,0.78,0.45,0.599,0.652,0.824,0.722,0.469,1.03,0.93,1.7,1.39
2016-08-15,3.45,6.73,1.08,1.059,99.99,1.202,0.859,0.897,0.721,0.761,0.868,0.776,0.448,0.594,0.649,0.83,0.723,0.471,1.03,0.93,1.7,1.39
2016-08-12,3.35,6.59,1.035,1.068,100.0,1.194,0.851,0.894,0.708,0.762,0.853,0.768,0.447,0.592,0.651,0.832,0.72,0.465,1.02,0.94,1.7,1.38
2016-08-11,3.29,6.5,1.021,1.067,100.0,1.187,0.844,0.879,0.7,0.762,0.847,0.758,0.445,0.576,0.65,0.822,0.716,0.464,1.01,0.93,1.69,1.4
2016-08-10,3.3,6.61,1.064,1.069,100.0,1.175,0.837,0.884,0.692,0.769,0.841,0.752,0.446,0.579,0.655,0.822,0.711,0.464,0.99,0.93,1.7,1.4
2016-08-09,3.31,6.65,1.032,1.064,100.0,1.179,0.841,0.886,0.69,0.76,0.833,0.748,0.444,0.586,0.65,0.819,0.714,0.464,0.99,0.9,1.7,1.4
2016-08-08,3.29,6.58,1.025,1.063,100.0,1.185,0.841,0.879,0.688,0.76,0.833,0.745,0.442,0.578,0.648,0.813,0.707,0.463,0.99,0.9,1.69,1.4
2016-08-05,3.26,6.49,1.022,1.059,100.01,1.168,0.832,0.874,0.679,0.774,0.832,0.738,0.438,0.567,0.661,0.814,0.699,0.456,0.97,0.89,1.67,1.39
2016-08-04,3.25,6.51,1.029,1.053,100.0,1.147,0.82,0.879,0.67,0.77,0.831,0.731,0.438,0.563,0.657,0.805,0.705,0.455,0.96,0.89,1.66,1.39
2016-08-03,3.24,6.46,1.031,1.051,100.0,1.141,0.814,0.868,0.669,0.775,0.82,0.73,0.438,0.551,0.659,0.807,0.705,0.453,0.96,0.89,1.65,1.4
