,沪深300 ETF,中证500 ETF,HS300A,HS300B,MoneyFund,恒生,南方香港,石油黄金,恒生,易基黄金,国投新兴,招商金砖,银华通胀,华宝油气,添富贵金,工银资源,信诚四国,信诚商品,H股ETF,德国30,纳指ETF,标普500
沪深300 ETF,1.0,0.431503313404,0.128534279392,-0.025519435683,0.0101431536283,0.534803411088,0.0388233643269,-0.00714570475094,0.0683625305441,0.038020665869,0.0471068862331,0.0459866400398,0.02183935721,0.0368065695789,0.013617039707,0.0228646620663,0.0384420796861,0.0514427095089,0.282183854312,0.336285709266,0.242700399273,0.233751314534
中证500 ETF,0.431503313404,1.0,0.080266490943,-0.015395519716,0.0394921154164,0.264220364413,0.0219632482313,-0.0038179016028,0.0420618859646,0.0140033915796,0.0227902185514,0.0232427769302,0.00313083548351,0.00550192448922,-0.00380331715134,0.014493475439,0.0137794879637,0.0145615628359,0.165990768879,0.17005066061,0.130405023473,0.11763348175
HS300A,0.128534279392,0.080266490943,1.0,0.0021160554999,0.00645336266482,0.0796421024377,0.125175756084,0.0551670628457,0.044710635784,0.114280463431,0.0679975715389,0.010114728847,0.10400207787,0.0514127822211,0.0390439372441,-0.02716991034,0.085387624716,-0.0115371510544,0.0473856865962,0.0310205562293,0.0834862098351,0.0859187771065
HS300B,-0.025519435683,-0.015395519716,0.0021160554999,1.0,0.00228711046071,-0.00432085091658,0.044238437702,-0.0241524634616,-0.0113696966133,-0.016518711022,-0.0251608363772,-0.0218365621111,-0.0191050838839,-0.0189605038585,-0.0226661672108,-0.0215396730942,0.0329811468795,-0.0221833186947,-0.000845051546197,0.0165246326839,0.0369674202598,0.0794262935538
MoneyFund,0.0101431536283,0.0394921154164,0.00645336266482,0.00228711046071,1.0,0.0162650576282,0.00070225252273,0.00557377003099,1.31944178144e-05,0.000673779334887,-0.000190730790837,-9.36763168797e-05,0.000685984423829,0.00867968231304,0.00121564572729,0.00411919147897,0.00319982126418,0.00601432000863,0.00130130158266,-0.0314976941015,0.026310207044,-0.0156702322515
恒生,0.534803411088,0.264220364413,0.0796421024377,-0.00432085091658,0.0162650576282,1.0,0.0428834519367,0.00581073667139,0.0460006737709,0.0117448121093,0.0162601920589,0.0316845189184,0.0351254794249,0.00974123829717,0.0193614943066,0.029923862079,0.0411414898534,0.0233537336323,0.350884718851,0.454618446469,0.434507253434,0.368540615296
南方香港,0.0388233643269,0.0219632482313,0.125175756084,0.044238437702,0.00070225252273,0.0428834519367,1.0,0.123029873327,0.0302703865784,0.0680475565131,0.0982924420199,0.131818592459,0.00310920526753,0.1023288909,0.0782549373001,0.0962284532819,0.0587522823457,0.140516987774,-0.0114711928575,0.0512318770117,0.0226965984111,0.0551010720031
石油黄金,-0.00714570475094,-0.0038179016028,0.0551670628457,-0.0241524634616,0.00557377003099,0.00581073667139,0.123029873327,1.0,0.0796134395712,0.125861595293,0.190535740174,0.224396268113,0.0654666324325,0.146209343133,0.0725594939386,0.0975529420331,0.122962559497,0.102434919895,-0.00643118127711,0.0205272129651,0.0322008159703,0.0136203635618
恒生,0.0683625305441,0.0420618859646,0.044710635784,-0.0113696966133,1.31944178144e-05,0.0460006737709,0.0302703865784,0.0796134395712,1.0,-0.0368014919385,0.0212852535167,0.133217833614,0.133575115329,0.0541166323209,0.0775427490874,0.02156514864,0.109993847557,0.14831392981,0.0281510795,0.0437886666213,0.0109441886779,-0.00822757634799
易基黄金,0.038020665869,0.0140033915796,0.114280463431,-0.016518711022,0.000673779334887,0.0117448121093,0.0680475565131,0.125861595293,-0.0368014919385,1.0,0.148900609861,0.0481259872134,0.0669509663634,0.023393261818,0.127188290423,0.0656963795831,0.0454544764983,0.0107350800346,-0.0186468130687,0.00218423294904,0.0226545030316,0.047046222636
